checking_account_status,duration,credit_history,purpose,credit_amount,savings,present_employment,installment_rate,personal,other_debtors,present_residence,property,age,other_installment_plans,housing,existing_credits,job,dependents,telephone,foreign_worker,customer_type,sex,checking_account_exists,savings_account_exists
A11,6,A34,radio/television,1169.0,A65,A75,4.0,A93,none,4.0,A121,67.0,none,own,2.0,skilled_employee,1,1,1,1,1,1,0
A12,48,A32,radio/television,5951.0,A61,A73,2.0,A92,none,2.0,A121,22.0,none,own,1.0,skilled_employee,1,0,1,0,0,1,1
A14,12,A34,education,2096.0,A61,A74,2.0,A93,none,3.0,A121,49.0,none,own,1.0,unskilled-resident,2,0,1,1,1,0,1
A11,42,A32,furniture/equipment,7882.0,A61,A74,2.0,A93,guarantor,4.0,A122,45.0,none,free,1.0,skilled_employee,2,0,1,1,1,1,1
A11,24,A33,new car,4870.0,A61,A73,3.0,A93,none,4.0,A124,53.0,none,free,2.0,skilled_employee,2,0,1,0,1,1,1
A14,36,A32,education,9055.0,A65,A73,2.0,A93,none,4.0,A124,35.0,none,free,1.0,unskilled-resident,2,1,1,1,1,0,0
A14,24,A32,furniture/equipment,2835.0,A63,A75,3.0,A93,none,4.0,A122,53.0,none,own,1.0,skilled_employee,1,0,1,1,1,0,1
A12,36,A32,used car,6948.0,A61,A73,2.0,A93,none,2.0,A123,35.0,none,rent,1.0,management/self-employed,1,1,1,1,1,1,1
A14,12,A32,radio/television,3059.0,A64,A74,2.0,A91,none,4.0,A121,61.0,none,own,1.0,unskilled-resident,1,0,1,1,1,0,1
A12,30,A34,new car,5234.0,A61,A71,4.0,A94,none,2.0,A123,28.0,none,own,2.0,management/self-employed,1,0,1,0,1,1,1
A12,12,A32,new car,1295.0,A61,A72,3.0,A92,none,1.0,A123,25.0,none,rent,1.0,skilled_employee,1,0,1,0,0,1,1
A11,48,A32,business,4308.0,A61,A72,3.0,A92,none,4.0,A122,24.0,none,rent,1.0,skilled_employee,1,0,1,0,0,1,1
A12,12,A32,radio/television,1567.0,A61,A73,1.0,A92,none,1.0,A123,22.0,none,own,1.0,skilled_employee,1,1,1,1,0,1,1
A11,24,A34,new car,1199.0,A61,A75,4.0,A93,none,4.0,A123,60.0,none,own,2.0,unskilled-resident,1,0,1,0,1,1,1
A11,15,A32,new car,1403.0,A61,A73,2.0,A92,none,4.0,A123,28.0,none,rent,1.0,skilled_employee,1,0,1,1,0,1,1
A11,24,A32,radio/television,1282.0,A62,A73,4.0,A92,none,2.0,A123,32.0,none,own,1.0,unskilled-resident,1,0,1,0,0,1,1
A14,24,A34,radio/television,2424.0,A65,A75,4.0,A93,none,4.0,A122,53.0,none,own,2.0,skilled_employee,1,0,1,1,1,0,0
A11,30,A30,business,8072.0,A65,A72,2.0,A93,none,3.0,A123,25.0,bank,own,3.0,skilled_employee,1,0,1,1,1,1,0
A12,24,A32,used car,12579.0,A61,A75,4.0,A92,none,2.0,A124,44.0,none,free,1.0,management/self-employed,1,1,1,0,0,1,1
