"","duration","credit_amount","installment_rate","present_residence","age","existing_credits","dependents","has_telephone","is_foreign_worker","has_problems_credit_history","purpose_domestic","purpose_retraining","purpose_radio_television","purpose_new_car","purpose_used_car","purpose_business","purpose_repairs","purpose_education","purpose_furniture_equipment","other_debtors_guarantor","other_debtors_co_applicant","other_installment_plans_bank","other_installment_plans_stores","housing_rent","housing_own","job_skilled_employee","job_unskilled_resident","job_highly_qualified_employee","savings","present_employment","property","checking_account_status","is_woman","is_single"
"37",48,6110,1,3,31,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,2,0,0,0,1
"948",12,2859,4,4,38,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
"476",18,3114,1,4,26,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,2,1,1,0
"739",6,6761,1,3,45,2,2,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,5,0,0,0,1
"164",10,7308,2,4,70,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,2,0,1
"844",24,1559,4,4,50,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,5,1,0,0,1
"341",24,5743,2,4,24,2,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,2,1,0
"862",18,2169,4,2,28,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,1,0,0,0
"99",36,2337,4,4,36,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,7,3,2,0,1
"708",12,2969,4,3,25,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,2,2,1,0
