"","x"
"1",1
"2",1
"3",0
"4",1
"5",1
"6",1
"7",1
"8",0
"9",1
"10",0
"11",0
"12",1
"13",1
"14",0
"15",1
"16",1
"17",0
"18",1
"19",1
"20",1
"21",1
"22",1
"23",1
"24",1
"25",1
"26",0
"27",1
"28",1
"29",0
"30",0
"31",1
"32",1
"33",0
"34",1
"35",1
"36",0
"37",1
"38",0
"39",1
"40",1
"41",1
"42",1
"43",0
"44",1
"45",1
"46",1
"47",1
"48",1
"49",0
"50",1
"51",1
"52",1
"53",0
"54",0
"55",0
"56",1
"57",1
"58",1
"59",1
"60",1
"61",0
"62",0
"63",0
"64",0
"65",1
"66",1
"67",1
"68",0
"69",1
"70",0
"71",0
"72",1
"73",1
"74",0
"75",1
"76",1
"77",0
"78",0
"79",1
"80",1
"81",0
"82",0
"83",1
"84",0
"85",0
"86",1
"87",1
"88",1
"89",1
"90",0
"91",1
"92",1
"93",0
"94",0
"95",0
"96",1
"97",1
"98",1
"99",1
"100",1
"101",1
"102",0
"103",1
"104",1
"105",1
"106",1
"107",1
"108",1
"109",1
"110",1
"111",0
"112",0
"113",1
"114",0
"115",1
"116",0
"117",1
"118",1
"119",0
"120",1
"121",0
"122",0
"123",0
"124",0
"125",1
"126",1
"127",1
"128",1
"129",1
"130",1
"131",0
"132",0
"133",1
"134",1
"135",1
"136",1
"137",1
"138",1
"139",1
"140",1
"141",1
"142",1
"143",0
"144",1
"145",0
"146",0
"147",0
"148",1
"149",0
"150",1
"151",0
"152",1
"153",0
"154",1
"155",1
"156",1
"157",1
"158",1
"159",1
"160",1
"161",0
"162",1
"163",1
"164",1
"165",1
"166",1
"167",1
"168",1
"169",1
"170",1
"171",1
"172",1
"173",0
"174",1
"175",1
"176",1
"177",1
"178",1
"179",1
"180",0
"181",1
"182",1
"183",0
"184",0
"185",1
"186",0
"187",1
"188",0
"189",0
"190",0
"191",1
"192",1
"193",0
"194",1
"195",1
"196",0
"197",1
"198",1
"199",1
"200",1
"201",0
"202",0
"203",1
"204",0
"205",1
"206",1
"207",1
"208",1
"209",0
"210",1
"211",1
"212",1
"213",1
"214",1
"215",1
"216",1
"217",1
"218",0
"219",1
"220",1
"221",1
"222",1
"223",1
"224",0
"225",0
"226",1
"227",1
"228",1
"229",1
"230",1
"231",1
"232",0
"233",1
"234",1
"235",1
"236",0
"237",1
"238",1
"239",1
"240",0
"241",0
"242",1
"243",1
"244",0
"245",1
"246",1
"247",1
"248",1
"249",1
"250",0
"251",0
"252",1
"253",0
"254",1
"255",0
"256",0
"257",0
"258",1
"259",1
"260",0
"261",1
"262",0
"263",1
"264",1
"265",0
"266",0
"267",1
"268",1
"269",0
"270",0
"271",0
"272",1
"273",1
"274",1
"275",1
"276",1
"277",1
"278",1
"279",0
"280",1
"281",1
"282",1
"283",0
"284",1
"285",1
"286",1
"287",1
"288",1
"289",0
"290",0
"291",1
"292",0
"293",0
"294",1
"295",1
"296",1
"297",1
"298",0
"299",1
"300",1
"301",1
"302",1
"303",0
"304",1
"305",1
"306",1
"307",0
"308",0
"309",1
"310",1
"311",1
"312",1
"313",1
"314",1
"315",1
"316",1
"317",1
"318",1
"319",1
"320",1
"321",1
"322",1
"323",1
"324",1
"325",0
"326",1
"327",1
"328",0
"329",0
"330",1
"331",1
"332",0
"333",0
"334",1
"335",0
"336",0
"337",1
"338",1
"339",0
"340",0
"341",0
"342",1
"343",1
"344",0
"345",1
"346",1
"347",1
"348",1
"349",1
"350",0
"351",1
"352",1
"353",0
"354",1
"355",1
"356",0
"357",1
"358",1
"359",0
"360",0
"361",1
"362",1
"363",1
"364",1
"365",1
"366",1
"367",0
"368",0
"369",1
"370",1
"371",1
"372",1
"373",1
"374",1
"375",1
"376",1
"377",0
"378",1
"379",0
"380",1
"381",1
"382",0
"383",0
"384",0
"385",1
"386",1
"387",1
"388",1
"389",0
"390",1
"391",1
"392",1
"393",1
"394",0
"395",1
"396",1
"397",0
"398",1
"399",1
"400",1
"401",0
"402",1
"403",1
"404",1
"405",0
"406",1
"407",0
"408",1
"409",1
"410",0
"411",1
"412",1
"413",1
"414",1
"415",1
"416",1
"417",1
"418",1
"419",1
"420",0
"421",1
"422",1
"423",0
"424",0
"425",1
"426",1
"427",0
"428",1
"429",1
"430",1
"431",1
"432",1
"433",1
"434",0
"435",0
"436",1
"437",1
"438",1
"439",1
"440",0
"441",1
"442",0
"443",1
"444",0
"445",1
"446",1
"447",1
"448",1
"449",1
"450",0
"451",1
"452",0
"453",1
"454",1
"455",1
"456",1
"457",1
"458",1
"459",1
"460",0
"461",1
"462",1
"463",1
"464",1
"465",1
"466",1
"467",1
"468",1
"469",1
"470",1
"471",1
"472",0
"473",1
"474",1
"475",1
"476",1
"477",1
"478",1
"479",0
"480",1
"481",1
